aptNm,aptSeq,excluUseAr,dealYear,dealMonth,dealDay,dealAmount,buildYear,umdNm,sggCd,floor,dealDate
진성그린,11590-213,74.72,2020,1,11,43000,2004,상도동,11590,6,2020-01-11
쌍용스윗닷홈,11590-99,84.954,2020,1,29,84200,2003,상도동,11590,5,2020-01-29
포스코더샵,11590-3412,84.992,2020,1,18,112500,2007,상도동,11590,7,2020-01-18
e편한세상상도노빌리티,11590-4879,59.9173,2020,1,29,110100,2018,상도동,11590,5,2020-01-29
e편한세상상도노빌리티,11590-4879,59.9173,2020,1,29,109900,2018,상도동,11590,2,2020-01-29
대림아파트,11590-85,84.89,2020,1,15,65500,1995,상도동,11590,6,2020-01-15
대림아파트,11590-85,66.59,2020,1,13,59000,1995,상도동,11590,14,2020-01-13
쌍용스윗닷홈,11590-99,112.756,2020,1,29,87900,2003,상도동,11590,2,2020-01-29
중앙하이츠빌,11590-100,84.9794,2020,1,13,82000,2003,상도동,11590,2,2020-01-13
중앙하이츠빌,11590-100,84.9883,2020,1,13,87000,2003,상도동,11590,4,2020-01-13
상도현대,11590-15,59.72,2020,1,21,57300,2003,상도동,11590,13,2020-01-21
상도동래미안1차,11590-22,59.828,2020,1,10,79000,2004,상도동,11590,9,2020-01-10
상도동래미안1차,11590-22,84.959,2020,1,9,91500,2004,상도동,11590,9,2020-01-09
상도동삼호아파트,11590-13,84.52,2020,1,20,69300,1994,상도동,11590,7,2020-01-20
현대(관악),11590-3295,84.78,2020,1,21,67800,1992,상도동,11590,3,2020-01-21
중앙하이츠빌,11590-100,84.9883,2020,1,18,85000,2003,상도동,11590,1,2020-01-18
아이파크,11590-126,114.83,2020,1,18,97000,2004,상도동,11590,9,2020-01-18
롯데캐슬비엔,11590-3744,84.95,2020,1,11,85000,2010,상도동,11590,4,2020-01-11
중앙하이츠빌,11590-100,84.9883,2020,1,3,88500,2003,상도동,11590,8,2020-01-03
중앙하이츠빌,11590-100,84.9883,2020,1,13,85000,2003,상도동,11590,9,2020-01-13
포스코더샵,11590-3412,132.735,2020,1,18,135000,2007,상도동,11590,10,2020-01-18
상도현대,11590-15,84.97,2020,1,16,59500,2003,상도동,11590,1,2020-01-16
포스코더샵,11590-3412,84.992,2020,1,5,112500,2007,상도동,11590,10,2020-01-05
상도효성해링턴플레이스,11590-4559,84.8136,2020,1,16,105500,2016,상도동,11590,13,2020-01-16
상도동래미안1차,11590-22,84.959,2020,1,12,94000,2004,상도동,11590,11,2020-01-12
포스코더샵,11590-3412,59.995,2020,1,18,93000,2007,상도동,11590,13,2020-01-18
현대(관악),11590-3295,84.78,2020,1,11,69000,1992,상도동,11590,8,2020-01-11
건영,11590-9,114.96,2020,1,14,89700,1997,상도동,11590,6,2020-01-14
현대(관악),11590-3295,84.78,2020,1,7,69000,1992,상도동,11590,5,2020-01-07
현대201동,11590-18,59.91,2020,1,13,48500,1995,상도동,11590,6,2020-01-13
이수브라운스톤상도(527-0),11590-3441,84.99,2020,1,28,107000,2007,상도동,11590,6,2020-01-28
두산위브트레지움2차,11590-4495,84.8624,2020,1,31,123000,2016,상도동,11590,20,2020-01-31
힐스테이트 상도 프레스티지,11590-4078,84.884,2020,1,2,115000,2013,상도동,11590,12,2020-01-02
두산위브트레지움2차,11590-4495,59.7852,2020,1,23,90000,2016,상도동,11590,4,2020-01-23
상도동삼호아파트,11590-13,114.63,2020,1,1,75500,1994,상도동,11590,15,2020-01-01
쌍용스윗닷홈,11590-99,84.954,2020,1,9,84000,2003,상도동,11590,9,2020-01-09
힐스테이트 상도 프레스티지,11590-4078,84.951,2020,1,22,117000,2013,상도동,11590,4,2020-01-22
래미안상도3차,11590-127,114.97,2020,1,18,129000,2004,상도동,11590,8,2020-01-18
래미안상도3차,11590-127,114.97,2020,1,18,124000,2004,상도동,11590,14,2020-01-18
e편한세상상도노빌리티,11590-4879,59.9173,2020,1,29,97000,2018,상도동,11590,1,2020-01-29
경향렉스빌,11590-23,84.5802,2020,1,23,56000,2002,상도동,11590,9,2020-01-23
대림아파트,11590-85,84.89,2020,1,18,66000,1995,상도동,11590,10,2020-01-18
힐스테이트 상도 센트럴파크,11590-3954,84.7835,2020,1,18,125500,2012,상도동,11590,14,2020-01-18
이수브라운스톤상도(527-0),11590-3441,84.99,2020,1,11,105000,2007,상도동,11590,10,2020-01-11
e편한세상상도노빌리티,11590-4879,59.7827,2020,1,2,115000,2018,상도동,11590,14,2020-01-02
상도팰리스,11590-123,84.86,2020,2,10,68000,2006,상도동,11590,1,2020-02-10
e편한세상상도노빌리티,11590-4879,59.7827,2020,2,1,112500,2018,상도동,11590,19,2020-02-01
상도동래미안1차,11590-22,84.959,2020,2,6,91000,2004,상도동,11590,12,2020-02-06
상도동삼호아파트,11590-13,84.52,2020,2,27,70000,1994,상도동,11590,12,2020-02-27
중앙하이츠빌,11590-100,84.9883,2020,2,25,88900,2003,상도동,11590,2,2020-02-25
이수브라운스톤상도(527-0),11590-3441,84.91,2020,2,29,104500,2007,상도동,11590,5,2020-02-29
장승,11590-21,76.0,2020,2,22,39000,2002,상도동,11590,4,2020-02-22
대림아파트,11590-85,66.59,2020,2,24,59500,1995,상도동,11590,13,2020-02-24
대림아파트,11590-85,84.89,2020,2,15,66500,1995,상도동,11590,5,2020-02-15
중앙하이츠빌,11590-100,84.9883,2020,2,15,92000,2003,상도동,11590,15,2020-02-15
상도현대,11590-15,84.97,2020,2,29,71000,2003,상도동,11590,11,2020-02-29
아이파크,11590-126,84.96,2020,2,15,86500,2004,상도동,11590,5,2020-02-15
중앙하이츠빌,11590-100,84.9883,2020,2,22,88000,2003,상도동,11590,16,2020-02-22
포스코더샵,11590-3412,59.99,2020,2,29,96500,2007,상도동,11590,6,2020-02-29
중앙하이츠빌,11590-100,84.9883,2020,2,27,86800,2003,상도동,11590,3,2020-02-27
포스코더샵,11590-3412,84.995,2020,2,29,115000,2007,상도동,11590,10,2020-02-29
포스코더샵,11590-3412,59.99,2020,2,29,96700,2007,상도동,11590,10,2020-02-29
상도현대,11590-15,84.97,2020,2,12,68000,2003,상도동,11590,5,2020-02-12
중앙하이츠빌,11590-100,84.9883,2020,2,4,90000,2003,상도동,11590,7,2020-02-04
상도동삼호아파트,11590-13,84.52,2020,2,20,70000,1994,상도동,11590,2,2020-02-20
상도동삼호아파트,11590-13,84.52,2020,2,4,65500,1994,상도동,11590,7,2020-02-04
상도동삼호아파트,11590-13,114.63,2020,2,17,72700,1994,상도동,11590,3,2020-02-17
포스코더샵,11590-3412,84.995,2020,2,20,113000,2007,상도동,11590,4,2020-02-20
현대(관악),11590-3295,84.78,2020,2,20,72800,1992,상도동,11590,11,2020-02-20
힐스테이트 상도 프레스티지,11590-4078,84.922,2020,2,5,117000,2013,상도동,11590,8,2020-02-05
포스코더샵,11590-3412,84.995,2020,2,9,112000,2007,상도동,11590,7,2020-02-09
힐스테이트 상도 센트럴파크,11590-3954,84.7835,2020,2,11,116000,2012,상도동,11590,8,2020-02-11
건영,11590-9,114.96,2020,2,19,90000,1997,상도동,11590,7,2020-02-19
상도효성해링턴플레이스,11590-4559,84.9506,2020,2,14,106000,2016,상도동,11590,19,2020-02-14
이수브라운스톤상도(527-0),11590-3441,84.91,2020,2,29,104500,2007,상도동,11590,5,2020-02-29
건영,11590-9,32.8,2020,2,22,44200,1997,상도동,11590,15,2020-02-22
건영,11590-9,114.96,2020,2,21,89000,1997,상도동,11590,3,2020-02-21
상도휴엔하임,11590-4526,14.7,2020,2,12,16800,2016,상도동,11590,13,2020-02-12
이수브라운스톤상도(527-0),11590-3441,84.99,2020,2,26,107000,2007,상도동,11590,14,2020-02-26
현대(관악),11590-3295,84.78,2020,2,23,70600,1992,상도동,11590,2,2020-02-23
포스코더샵,11590-3412,59.99,2020,2,22,86000,2007,상도동,11590,1,2020-02-22
현대(관악),11590-3295,84.78,2020,2,22,71000,1992,상도동,11590,2,2020-02-22
현대(관악),11590-3295,84.78,2020,2,15,71900,1992,상도동,11590,5,2020-02-15
상도더샵2차,11590-4206,84.99,2020,2,3,95000,2014,상도동,11590,1,2020-02-03
두산위브트레지움2차,11590-4495,59.7852,2020,2,28,110000,2016,상도동,11590,9,2020-02-28
